energy_center_MeV,annihil,compt,conv,primary,other,total
1.647500,1.000000,0.000000,3.000000,30.000000,1.000000,35.000000
1.652500,0.000000,0.000000,0.000000,33.000000,1.000000,34.000000
1.657500,0.000000,3.000000,1.000000,32.000000,2.000000,38.000000
1.662500,0.000000,2.000000,0.000000,22.000000,6.000000,30.000000
1.667500,0.000000,1.000000,1.000000,29.000000,1.000000,32.000000
1.672500,0.000000,1.000000,3.000000,33.000000,3.000000,40.000000
1.677500,1.000000,1.000000,0.000000,38.000000,1.000000,41.000000
1.682500,0.000000,1.000000,0.000000,34.000000,1.000000,36.000000
1.687500,0.000000,1.000000,0.000000,48.000000,3.000000,52.000000
1.692500,1.000000,0.000000,2.000000,24.000000,3.000000,30.000000
1.697500,1.000000,2.000000,0.000000,22.000000,0.000000,25.000000
1.702500,2.000000,1.000000,2.000000,37.000000,4.000000,46.000000
1.707500,0.000000,2.000000,2.000000,32.000000,0.000000,36.000000
1.712500,0.000000,0.000000,1.000000,26.000000,0.000000,27.000000
1.717500,1.000000,3.000000,0.000000,22.000000,2.000000,28.000000
1.722500,0.000000,0.000000,1.000000,32.000000,1.000000,34.000000
1.727500,0.000000,0.000000,1.000000,23.000000,3.000000,27.000000
1.732500,1.000000,0.000000,3.000000,41.000000,0.000000,45.000000
1.737500,0.000000,0.000000,0.000000,21.000000,3.000000,24.000000
1.742500,0.000000,0.000000,1.000000,38.000000,2.000000,41.000000
1.747500,1.000000,0.000000,0.000000,35.000000,1.000000,37.000000
1.752500,2.000000,1.000000,0.000000,37.000000,2.000000,42.000000
1.757500,1.000000,0.000000,1.000000,34.000000,3.000000,39.000000
1.762500,0.000000,1.000000,0.000000,23.000000,1.000000,25.000000
1.767500,1.000000,1.000000,0.000000,27.000000,1.000000,30.000000
1.772500,0.000000,3.000000,0.000000,37.000000,2.000000,42.000000
1.777500,0.000000,3.000000,0.000000,32.000000,2.000000,37.000000
1.782500,0.000000,1.000000,0.000000,36.000000,2.000000,39.000000
1.787500,1.000000,0.000000,2.000000,32.000000,0.000000,35.000000
1.792500,0.000000,0.000000,0.000000,30.000000,1.000000,31.000000
1.797500,1.000000,0.000000,0.000000,30.000000,2.000000,33.000000
1.802500,0.000000,0.000000,1.000000,31.000000,1.000000,33.000000
